aZero,0.036363636
aSharpZero,0.03431709
bZero,0.03239391
cOne,0.03058104
cSharpOne,0.028860029
dOne,0.027240534
dSharpOne,0.025713551
eOne,0.024271845
fOne,0.022909507
fSharpOne,0.021621622
gOne,0.020408163
gSharpOne,0.019264111
aOne,0.018181818
aSharpOne,0.01716149
bOne,0.016196955
cTwo,0.015288182
cSharpTwo,0.014430014
dTwo,0.013620267
dSharpTwo,0.012856776
eTwo,0.01213445
fTwo,0.011453442
fSharpTwo,0.010810811
gTwo,0.010204082
gSharpTwo,0.009631128
aTwo,0.009090909
aSharpTwo,0.008580745
bTwo,0.008099133
cThree,0.007644675
cSharpThree,0.007215528
dThree,0.006810597
dSharpThree,0.006428388
eThree,0.006067593
fThree,0.005727049
fSharpThree,0.005405405
gThree,0.005102041
gSharpThree,0.004815796
aThree,0.004545455
aSharpThree,0.004290372
bThree,0.004049567
cFour,0.003822192
cSharpFour,0.003607764
dFour,0.003405299
dSharpFour,0.003214091
eFour,0.003033704
fFour,0.002863442
fSharpFour,0.002702776
gFour,0.00255102
gSharpFour,0.002407898
aFour,0.002272727
aSharpFour,0.002145186
bFour,0.002024783
cFive,0.001911132
cSharpFive,0.001803849
dFive,0.00170262
dSharpFive,0.001607071
eFive,0.001516875
fFive,0.001431721
fSharpFive,0.00135137
gFive,0.001275526
gSharpFive,0.001203934
aFive,0.001136364
aSharpFive,0.001072582
bFive,0.001012381
cSix,0.000955566
cSharpSix,0.000901933
dSix,0.00085131
dSharpSix,0.000803529
eSix,0.000758432
fSix,0.000715866
fSharpSix,0.000675685
gSix,0.000637763
gSharpSix,0.000601967
aSix,0.000568182
aSharpSix,0.000536291
bSix,0.000506193
cSeven,0.000477783
cSharpSeven,0.000450966
dSeven,0.000425655
dSharpSeven,0.000401765
eSeven,0.000379216
fSeven,0.000357932
fSharpSeven,0.000337842
gSeven,0.000318882
gSharpSeven,0.000300984
aSeven,0.000284091
aSharpSeven,0.000268146
bSeven,0.000253096
cEight,0.000238891
cSharpEight,0.000225483
dEight,0.000212828
dSharpEight,0.000200883
eEight,0.000189608
fEight,0.000178966
fSharpEight,0.000168921
gEight,0.000159441
gSharpEight,0.000150492
aEight,0.000142045
aSharpEight,0.000134073
bEight,0.000126548